a	(emphasis)
akesi	Non-cute Animal<br>Reptile<br>Amphibian
ala	No<br>Not<br>Zero
alasa	To Hunt<br>To Forage
ale	All<br>Abundant<br>Countless<br>Bountiful<br>Life<br>Universe
anpa	Downward<br>Humble<br>Lowly<br>Dependent
ante	Different<br>Altered<br>Changed<br>Other
anu	or
awen	Enduring<br>Kept<br>Protected<br>Safe<br>Waiting<br>Staying
e	(before the direct object)
en	(between multiple subjects)
esun	Market<br>Shop<br>Fair<br>Business Transaction
ijo	Thing<br>Phenomenon<br>Object<br>Matter
ike	Bad<br>Negative<br>Non-Essential<br>Irrelevant
ilo	Tool<br>Implement<br>Machine<br>Device
insa	Centre<br>Content<br>Inside<br>Between<br>Internal Organ<br>Stomach
jaki	Disgusting<br>Obscene<br>Sickly<br>Toxic<br>Unclean<br>Unsanitary
jan	Human<br>Being<br>Person<br>Somebody
jelo	Yellow<br>Yellowish
jo	To Have<br>Carry<br>Contain<br>Hold
kala	Fish<br>Marine Animal<br>Sea Creature
kalama	To Produce a Sound<br>Recite<br>Utter Aloud
kama	Arriving<br>Coming<br>Future<br>Summoned<br>To Become<br>Manage To<br>Succeed In
kasi	Plant<br>Vegetation<br>Herb<br>Leaf
ken	To be Able to<br>Be Allowed to<br>Can<br>May<br>Possible
kepeken	To Use<br>With<br>By Means of
kili	Fruit<br>Vegetable<br>Mushroom
kiwen	Hard Object<br>Metal<br>Rock<br>Stone
ko	Clay<br>Clinging Form<br>Dough<br>Semi-Solid<br>Paste<br>Powder
kon	Air<br>Breath<br>Essence<br>Spirit<br>Hidden Reality<br>Unseen Agent
kule	Colourful<br>Pigmented<br>Painted
kulupu	Community<br>Company<br>Group<br>Nation<br>Society<br>Tribe
kute	Ear<br>To Hear<br>Listen<br>Pay Attention To<br>Obey
la	(between the context phrase and the main sentence)
lape	Sleeping<br>Resting
laso	Blue<br>Green
lawa	Head<br>Mind<br>To Control<br>Direct<br>Guide<br>Lead<br>Own<br>Plan<br>Regulate<br>Rule
len	Cloth<br>Clothing<br>Fabric<br>Textile<br>Cover<br>Layer of Privacy
lete	Cold<br>Cool<br>Uncooked<br>Raw
li	(between any subject except the first and second person alone)
lili	Little<br>Small<br>Short<br>Few<br>a Bit<br>Young
linja	Long and Flexible Thing<br>Cord<br>Hair<br>Rope<br>Thread<br>Yarn
lipu	Flat Object<br>Book<br>Document<br>Card<br>Paper<br>Record<br>Website
loje	Red<br>Reddish
lon	Located At<br>Present at<br>Real<br>True<br>Existing
luka	Arm<br>Hand<br>Tactile Organ<br>Five
lukin	Eye<br>to Look at<br>See<br>Examine<br>Observe
lupa	Door<br>Hole<br>Orifice<br>Window
ma	Earth<br>Land<br>Outdoors<br>World<br>Country<br>Territory<br>Soil
mama	Parent<br>Ancestor<br>Creator<br>Originator<br>Caretaker<br>Sustainer
mani	Money<br>Cash<br>Savings<br>Wealth<br>Large Domesticated Animal
meli	Woman<br>Female<br>Feminine Person<br>Wife
mi	I<br>Me<br>We<br>Us
mije	Man<br>Male<br>Masculine Person<br>Husband
moku	To Eat<br>Drink<br>Consume<br>Swallow<br>Ingest
moli	Dead<br>Dying
monsi	Back<br>Behind<br>Rear
mu	(animal noise or communication)
mun	Moon<br>Night Sky Object<br>Star
musi	Artistic<br>Entertaining<br>Frivolous<br>Playful<br>Recreational
mute	Many<br>A Lot<br>More<br>Much<br>Several<br>Very<br>Quantity
nanpa	-th<br>Numbers
nasa	Unusual<br>Strange<br>Foolish<br>Crazy<br>Drunk<br>Intoxicated
nasin	Way<br>Custom<br>Doctrine<br>Method<br>Path<br>Road
nena	Bump<br>Button<br>Hill<br>Mountain<br>Nose<br>Protuberance
ni	That<br>This
nimi	Name<br>Word
noka	Foot<br>Leg<br>Organ of Locomotion<br>Bottom<br>Lower Part
o	(vocative or imperative)
olin	To Love<br>Have Compassion For<br>Respect<br>Show Affection To
ona	He<br>She<br>It<br>They
open	To Begin<br>Start<br>Open<br>Turn On
pakala	Botched<br>Broken<br>Damaged<br>Harmed<br>Messed Up
pali	To Do<br>Take Action On<br>Work On<br>Build<br>Make<br>Prepare
palisa	Long Hard Thing<br>Branch<br>Rod<br>Stick
pan	Cereal<br>Grain<br>Barley<br>Corn<br>Oat<br>Rice<br>Wheat<br>Bread<br>Pasta
pana	To Give<br>Send<br>Emit<br>Provide<br>Put<br>Release
pi	of
pilin	Heart (physical or emotional)<br>Feeling (an emotion, a direct experience)
pimeja	Black<br>Dark<br>Unlit
pini	Ago<br>Completed<br>Ended<br>Finished<br>Past
pipi	Bug<br>insect<br>Ant<br>Spider
poka	Hip<br>Side<br>Next To<br>Nearby<br>Vicinity
poki	Container<br>Bag<br>Bowl<br>Box<br>Cup<br>Cupboard<br>Drawer<br>Vessel
pona	Good<br>Positive<br>Useful<br>Friendly<br>Peaceful<br>Simple
pu	(interacting with the official Toki Pona book)
sama	Same<br>Similar<br>Each Other<br>Sibling<br>Peer<br>Fellow<br>As<br>Like
seli	Fire<br>Cooking Element<br>Chemical Reaction<br>Heat Source
selo	Outer Form<br>Outer Layer<br>Bark<br>Peel<br>Shell<br>Skin<br>Boundary
seme	What?<br>Which?
sewi	Area Above<br>Highest Part<br>Something Elevated<br>Awe-Inspiring<br>Divine<br>Sacred<br>Supernatural
sijelo	Body (of person or animal)<br>Physical State<br>Torso
sike	Round or Circular Thing<br>Ball<br>Circle<br>Cycle<br>Sphere<br>Wheel<br>of one year
sin	New<br>Fresh<br>Additional<br>Another<br>Extra
sina	You
sinpin	Face<br>Foremost<br>Front<br>Wall
sitelen	Image<br>Picture<br>Representation<br>Symbol<br>Mark<br>Writing
sona	To Know<br>Be Skilled In<br>Be Wise About<br>Have Information On
soweli	Animal<br>Beast<br>Land Mammal
suli	Big<br>Heavy<br>Large<br>Long<br>Tall<br>Important<br>Adult
suno	Sun<br>Light<br>Brightness<br>Glow<br>Radiance<br>Shine<br>Light Source
supa	Horizontal Surface<br>Thing to Put on
suwi	Sweet<br>Fragrant<br>Cute<br>Innocent<br>Adorable
tan	By<br>From<br>Because Of
taso	But<br>However<br>Only
tawa	Going To<br>Toward<br>For<br>From the Perspective of<br>Moving
telo	Water<br>Liquid<br>Fluid<br>Wet Substance<br>Beverage
tenpo	Time<br>Duration<br>Moment<br>Occasion<br>Period<br>Situation
toki	To Communicate<br>Say<br>Speak<br>Say<br>Talk<br>Use Language<br>Think
tomo	Indoor Space<br>Building<br>Home<br>House<br>Room
tu	Two
unpa	To Have Sexual With<br>To Have Marital Relations With
uta	Mouth<br>Lips<br>Oral Cavity<br>Jaw
utala	To Battle<br>Challenge<br>Compete Against<br>Struggle Against
walo	White<br>Whitish<br>Light-Coloured, Pale
wan	Unique<br>United<br>One
waso	bird<br>Flying Creature<br>Winged Animal
wawa	Strong<br>Powerful<br>Confident<br>Sure<br>Energetic<br>Intense
weka	Absent<br>Away<br>Ignored
wile	Must<br>Need<br>Require<br>Should<br>Want<br>Wish
kin	(emphasis, emotion or confirmation)
ali	All<br>Abundant<br>Countless<br>Bountiful<br>Every<br>Plentiful<br>Universe
oko	Eye<br>To Look At<br>See<br>Examine<br>Observe<br>Read
namako	New<br>Fresh<br>Additional<br>Another<br>Extra